ten_quan,diem_trung_binh,dia_chi,gio_mo_cua,gia_ca,lat,lon,url_anh,diem_Không gian,diem_Vị trí,diem_Chất lượng,diem_Phục vụ,diem_Giá cả,thuc_don,url_goc
The Home - Tô Hiến Thành,7.4,"163/21/34 Tô Hiến Thành, Quận 10, TP. HCM",Đang mở cửa  16:00 - 22:00,5.000đ - 15.000đ,10.7796246000000,106.6700218000000,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwc8xd42o1y3e4,8.0,8.0,7.5,7.0,6.5,,https://www.foody.vn/ho-chi-minh/the-home-to-hien-thanh
Xôi Gà - Cách Mạng Tháng 8,8.0,"848 Cách Mạng Tháng 8, Quận Tân Bình, TP. HCM",Đang mở cửa  18:00 - 23:00,10.000đ - 15.000đ,10.7898070000000,106.6592510000000,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8pchhj05i117,10.0,9.0,9.0,7.0,5.0,,https://www.foody.vn/ho-chi-minh/xoi-ga-cach-mang-thang-8
Tp. Thủ Đức - TP. HCM,,,,,,,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwfurrxp2eajdb@resize_ss640x400,,https://www.foody.vn/ho-chi-minh/khu-vuc-tp-thu-duc
Cơm Bình Dân Bùi Viện,6.9,"113 Bùi Viện, Quận 1, TP. HCM",Chưa mở cửa  10:30 - 21:00,20.000đ - 35.000đ,10.7665269000000,106.6920732999999,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwfqtcynnjkrde,7.3,7.3,7.0,6.8,6.3,,https://www.foody.vn/ho-chi-minh/com-binh-dan-bui-vien-126573
Mamalu 1 - Aeon Mall Bình Tân,_._,"Tầng 2,  Lô SF14, Tầng 2 Aeon Mall Bình Tân, 1 Đường 17A, P. Bình Trị Đông B, Quận Bình Tân, TP. HCM",Đang mở cửa  10:00 - 22:00,55.000đ - 249.000đ,10.7429390000000,106.6118560000000,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwgv85zs2cbd80,--,--,--,--,--,Soup cà chua (10.000đ) | Mala thang hải sản (77.000đ) | Soup tiêu cay(mala) (10.000đ) | Soup nấm gà (10.000đ) | Môn Chiên Sốt Chanh Dây - Cam (38.500đ) | Cơm trắng (5.500đ) | Tôm Chiên Xù Sốt Táo (75.900đ) | Cánh Gà Rán (60.500đ) | Cơm chiên hải sản (60.500đ) | Gà Xào Cay (108.900đ) | Tôm Cuộn Đậu Bắp (97.900đ) | Hủ Tiếu Xào Giòn (97.900đ) | Cơm Chiên Lạp Xưởng (60.500đ) | Nước mơ (19.800đ),https://www.foody.vn/ho-chi-minh/mamalu-1-aeon-mall-binh-tan
Nhà Hàng La Casa - Bùi Viện,7.5,"40A/1 Bùi Viện, P. Phạm Ngũ Lão , Quận 1, TP. HCM",Đang mở cửa  09:00 - 23:00,35.000đ - 275.000đ,10.7675970000000,106.6945030000000,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwfergjcg7o96f,8.2,7.6,7.6,7.2,7.1,,https://www.foody.vn/ho-chi-minh/nha-hang-la-casa-bui-vien
SỮA ĐẬU NÀNH MIX - Quận 10,_._,"158/19A Hoà Hưng, P. 13, Quận 10, TP. HCM",Đang mở cửa  08:00 - 23:00,Đang cập nhật,10.7792151000000,106.6740238000000,https://down-vn.img.susercontent.com/vn-11134513-7ras8-m5djnnumrsw30f,--,--,--,--,--,Sữa Đậu Nành Mix Caramel (32.000đ) | Sữa Đậu Nành Cà Phê Caramel (35.000đ) | [GIẢM 10%] COMBO 4 EM BEST SELLER - Tuyệt đỉnh Cung Phu (112.500đ) | [GIẢM 5%] COMBO 3 EM BEST SELLER - Dịu keo quoá (85.500đ) | Bánh Tráng Trộn 1 Xâu (10 Bịch) (55.000đ) | Sữa Đậu Nành Bò (27.000đ) | Sữa Đậu Nành Truyền Thống (22.000đ) | Sữa Đậu Nành Mix Đậu Phộng (29.000đ) | Sữa Đậu Nành Mix Matcha (35.000đ) | Sữa Đậu Nành Mix Cacao (32.000đ) | Sữa Đậu Nành Sương Sáo (27.000đ) | Sữa Đậu Nành Mix Bạc Hà (29.000đ) | Sữa Đậu Nành Trân Châu Đường Đen (35.000đ) | Sữa Đậu Nành Mix Cà Phê (32.000đ) | Sữa Đậu Nành Cà Phê Sương Sáo (35.000đ) | Sữa Đậu Nành Mix Caramel (32.000đ),https://www.foody.vn/ho-chi-minh/sua-dau-nanh-mix-quan-10
Nước Mía - Trường Sa,_._,"1230 Trường Sa, Quận Phú Nhuận, TP. HCM",Chưa mở cửa  10:00 - 21:00,5.000đ - 20.000đ,10.7899665250361,106.6671941801905,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9hchqnjf8942,--,--,--,--,--,,https://www.foody.vn/ho-chi-minh/nuoc-mia-truong-sa
Quán 2 3 Zô - Lẩu Nướng Và Xiên Que Tự Chọn,8.0,"C1/4 Phạm Hùng, Quận 8, TP. HCM",Đang mở cửa  10:00 - 23:30,30.000đ - 150.000đ,10.7359080000000,106.6718210000000,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwhv2seny5zv35,8.8,8.6,8.4,8.0,6.4,,https://www.foody.vn/ho-chi-minh/quan-2-3-zo-nhau-binh-dan
Phở Tân Phú,_._,"73 Vườn Lài, Quận Tân Phú, TP. HCM",Đang mở cửa  06:00 - 03:00,25.000đ - 45.000đ,10.7876308000000,106.6336910000000,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8tgfz0c5i1b7,--,--,--,--,--,,https://www.foody.vn/ho-chi-minh/pho-tan-phu
"Quán 11 - Phở, Hủ Tiếu, Cơm Tấm",8.6,"11 Hồ Văn Huê, P. 9, Quận Phú Nhuận, TP. HCM",Đang mở cửa  07:00 - 22:00,20.000đ - 25.000đ,10.8004580000000,106.6754280000000,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwbgngzkwo9le5,9.2,8.8,8.6,8.2,8.0,,https://www.foody.vn/ho-chi-minh/quan-11-pho-hu-tieu-com-tam
Ốc Trang - Phan Xích Long,6.3,"A300 Phan Xích Long, P. 7, Quận Phú Nhuận, TP. HCM",Đang mở cửa  16:00 - 22:00,50.000đ - 165.000đ,10.7988990000000,106.6872610000000,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwi3kglon4k925,6.5,6.5,6.3,6.0,6.0,,https://www.foody.vn/ho-chi-minh/oc-trang-phan-xich-long
Mây Coffee - Cách Mạng Tháng 8,8.7,"927/8 Cách Mạng Tháng 8, P. 7, Quận Tân Bình, TP. HCM",Đang mở cửa  07:00 - 23:00,22.000đ - 38.000đ,10.7895450000000,106.6586760000000,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9zm2p90zq36b,8.8,8.8,8.8,8.8,8.5,,https://www.foody.vn/ho-chi-minh/may-coffee-cach-mang-thang-8
Hủ Tiếu Cô Loan - Vĩnh Khánh,_._,"20/136 Vĩnh Khánh, P. 9, Quận 4, TP. HCM",Chưa mở cửa  06:00 - 10:30,25.000đ - 30.000đ,10.7642280000000,106.7015640000000,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwbw3swmfp3t7a,--,--,--,--,--,,https://www.foody.vn/ho-chi-minh/hu-tieu-co-loan-vinh-khanh
67 Tân Bình Coffee - Bành Văn Trân,_._,"193 Bành Văn Trân, P. 7, Quận Tân Bình, TP. HCM",Đang mở cửa  06:00 - 22:00,12.000đ - 30.000đ,10.7903960000000,106.6567360000000,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwczjzcd4i5713,--,--,--,--,--,,https://www.foody.vn/ho-chi-minh/67-tan-binh-coffee-banh-van-tran
Quán Chay Thiện Tâm - Hoàng Sa,_._,"1337 Hoàng Sa, P. 5, Quận Tân Bình, TP. HCM",Chưa mở cửa  06:00 - 18:30,Đang cập nhật,10.7920352000000,106.6606089000000,https://down-vn.img.susercontent.com/vn-11134259-7ras8-m2aq9n0nuoxg15,--,--,--,--,--,Cơm Thập Cẩm Chay (30.000đ) | Cơm Dương Châu Chay (30.000đ) | Cơm Tấm Chay (30.000đ) | Cháo Thập Cẩm Chay (30.000đ) | Nui Chay (30.000đ) | Mì Quảng Chay (30.000đ) | Bánh Ướt Chay (30.000đ) | Hủ Tíu Chay (30.000đ) | Bánh Canh Chay (30.000đ) | Phở Chay (30.000đ) | Bún Măng Chay (30.000đ) | Bún Riêu Chay (30.000đ) | Bún Huế Chay (30.000đ) | Bún cà ri (35.000đ) | Bún Chả Giò Chay (30.000đ),https://www.foody.vn/ho-chi-minh/quan-chay-thien-tam-hoang-sa
Domino’s Pizza - Nguyễn Tri Phương,7.4,"313 Nguyễn Tri Phương, P. 5, Quận 10, TP. HCM",Đang mở cửa  10:00 - 22:00,49.000đ - 199.000đ,10.7617390000000,106.6683760000000,https://down-vn.img.susercontent.com/vn-11134513-820l4-mh7b6pbrfdan0d,7.6,7.6,7.5,7.2,7.2,"MUA 1 PIZZA CỠ 9"", MUA 1 PIZZA CỠ 7""/ BUY 1 PIZZA SIZE 9"" GET 1 PIZZA SIZE 7"" 1.000Đ (1.000đ) | MUA 1 PIZZA CỠ 12"", MUA 1 PIZZA CỠ 7""/ BUY 1 PIZZA SIZE 12"" GET 1 PIZZA SIZE 7"" 1.000Đ (1.000đ) | MUA 1 PIZZA  TÔM & BÒ XỐT PARMESAN CỠ 9"", MUA 1 PIZZA CỠ 7"" GIÁ 1.000Đ/ BUY 1 PARMESAN SURF & TURF PIZZA SIZE 9"" GET 1 PIZZA SIZE 7"" 1.000Đ (1.000đ) | MUA 1 PIZZA ĐẾ ĐÔI TÔM & BÒ XỐT PARMESAN CỠ 9"", MUA 1 PIZZA CỠ 7"" GIÁ 1.000Đ/ BUY 1 DOUBLE CRUST PARMESAN SURF & TURF PIZZA SIZE 9"" GET 1 PIZZA SIZE 7"" 1.000Đ (1.000đ) | MUA 1 PIZZA ĐẾ ĐÔI TÔM & BÒ XỐT PARMESAN CỠ 12"", MUA 1 PIZZA CỠ 7"" GIÁ 1.000Đ/ BUY 1 DOUBLE CRUST PARMESAN SURF & TURF PIZZA SIZE 12"" GET 1 PIZZA SIZE 7"" 1.000Đ (1.000đ) | MUA 1 PIZZA  TÔM & BÒ XỐT PARMESAN CỠ 12"", MUA 1 PIZZA CỠ 7"" GIÁ 1.000Đ/ BUY 1 PARMESAN SURF & TURF PIZZA SIZE 12"" GET 1 PIZZA SIZE 7"" 1.000Đ (1.000đ) | GIẢM 40% PIZZA ĐẾ ĐÔI TÔM & BÒ XỐT PARMESAN CỠ 12""/ OFF 40% ON DOUBLE CRUST PARMESAN SURF & TURF PIZZA WHEN BUYING 1 PIZZA SIZE 12'' (464.000đ) | GIẢM 40% PIZZA ĐẾ ĐÔI TÔM & BÒ XỐT PARMESAN CỠ 9""/ OFF 40% ON DOUBLE CRUST PARMESAN SURF & TURF PIZZA WHEN BUYING 1 PIZZA SIZE 9'' (334.000đ) | GIẢM 40% PIZZA TÔM & BÒ XỐT PARMESAN CỠ 12""/ OFF 40% ON PARMESAN SURF & TURF PIZZA WHEN BUYING 1 PIZZA SIZE 12'' (452.000đ) | GIẢM 40% PIZZA TÔM & BÒ XỐT PARMESAN CỠ 9""/ OFF 40% ON PARMESAN SURF & TURF PIZZA WHEN BUYING 1 PIZZA SIZE 9'' (322.000đ) | Best Friends Combo (139.000đ) | Happy Deal Combo (119.000đ) | Big Party Combo (439.000đ) | Combo Yêu Thương/ Gift of Love Combo (249.000đ)",https://www.foody.vn/ho-chi-minh/domino-s-pizza-nguyen-tri-phuong
Ăn Vặt Bé Thảo - Bình Thạnh,_._,"80/57D Hoàng Hoa Thám, P. 7, Quận Bình Thạnh, TP. HCM",Đang mở cửa  08:00 - 23:59,10.000đ - 20.000đ,10.8076379000000,106.6902163000000,https://down-vn.img.susercontent.com/vn-11134513-7ras8-mbmvgb756l531d,--,--,--,--,--,Topping thêm Tóp Mỡ Mắm Tỏi (10.000đ) | (GHIỀN) BÁNH TRÁNG PHƠI SƯƠNG TRỘN TÓP MỠ (45.000đ) | TRÀ TẮC LY KHỔNG LỒ (17.000đ) | (BÉO NHON) BÁNH TRÁNG ĐỎ CUỘN CHẤM SỐT ME BƠ (30.000đ) | 3 TRỨNG CÚT ĂN KÈM BÁNH TRÁNG (7.000đ) | (NGON) BÁNH TRÁNG PHƠI SƯƠNG TRỘN (35.000đ) | TRÀ CHANH LY KHỔNG LỒ (18.000đ) | TẨY ĐÁ KÈM ỐNG HÚT (5.000đ) | KHÁCH MUA BÁNH ĐEM ĐI NC NGOÀI ĐI XA (1đ) | MỌI VẤN ĐỀ LIÊN QUAN ĐẾN SP VUI LÒNG LIÊN HỆ QUA ZALO (1đ) | THÔNG BÁO TĂNG THUẾ THEO NHÀ NƯỚC (1đ) | (BEST SELLER ) TÓP MỠ RIM MẮM TỎI (80.000đ) | Combo PS MUỐI TÉP HÀNH BƠ LỚN (135.000đ) | Combo PS MUỐI HÀNH BƠ LỚN (145.000đ) | Combo PS MUỐI NHUYỄN (85.000đ),https://www.foody.vn/ho-chi-minh/an-vat-be-thao-binh-thanh
Quán Hương Việt - Vĩnh Khánh,_._,"8 Vĩnh Khánh, Quận 4, TP. HCM",Đang cập nhật,18.000đ - 35.000đ,10.7609540000000,106.7032370000000,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwao8fs1yfa1b3,--,--,--,--,--,,https://www.foody.vn/ho-chi-minh/quan-huong-viet-vinh-khanh
Quận 3 - TP. HCM,,,,,,,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9944fh3gex12@resize_ss640x400,,https://www.foody.vn/ho-chi-minh/khu-vuc-quan-3
Ngọc Thạch Quán - Sữa Chua & Caramen - Quận 12,7.7,"Lô 44, 15 Nguyễn Thị Đặng, P. Hiệp Thành, Quận 12, TP. HCM",Chưa mở cửa  09:00 - 22:00,10.000đ - 30.000đ,10.8604510000000,106.6396250000000,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8kp9w82c4bd5,8.5,8.5,8.0,7.0,6.5,,https://www.foody.vn/ho-chi-minh/ngoc-thach-quan-sua-chua-caramen-quan-12
Quán 6 Hiếu - Súp Cua & Gà Ác,_._,"334 Trần Văn Đang, P. 11, Quận 3, TP. HCM",Chưa mở cửa  ,15.000đ - 99.000đ,10.7848120000000,106.6709300000000,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwetilm8bc9la0,--,--,--,--,--,,https://www.foody.vn/ho-chi-minh/quan-6-hieu-sup-cua-ga-ac
BM One Trà Sữa Quận 8 - Đường 105A Trịnh Quang Nghị,_._,"Số 11 Đường 105A Trịnh Quang Nghị, P. 7, Quận 8, TP. HCM",Chưa mở cửa  16:00 - 22:00,7.000đ - 35.000đ,10.7028266000000,106.6253663000000,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsv8rutclfa180,--,--,--,--,--,Trà sữa nướng  - Size 500ml (25.000đ) | Trà sữa truyền thống full Topping - Size 700ml (30.000đ) | Trà sữa trân châu đường đen  - Size 500ml (25.000đ) | Trà Sữa Truyền Thống Bánh plan - Size 500ml (28.000đ) | Trà sữa khoai môn - Size 500ml (25.000đ) | Trà Sữa Truyền Thống kèm bánh plan - Size 700ml (35.000đ) | Trà sữa việt quất  - Size 500ml (25.000đ) | Sữa tươi trân châu đường đen - Size 500ml (28.000đ) | Trà Sữa Socola - Size 700ml (30.000đ) | Trà sữa đậu đỏ  - Size 500ml (25.000đ) | Trà sữa socola  - Size 500ml (25.000đ) | Trà sữa Matcha - Size 700ml (30.000đ) | Trà sữa socola bạc hà Dark Lava - Size 500ml (30.000đ) | Trà sữa nướng - Size 700ml (30.000đ) | Sữa tươi trân châu đường đen - Size 700ml (33.000đ) | Trà Sữa Matcha Đậu Đỏ - Size 500ml (28.000đ) | Trà sữa matcha  - Size 500ml (25.000đ) | Sữa tươi trân châu đường đen Matcha - Size 700ml (35.000đ),https://www.foody.vn/ho-chi-minh/bm-one-tra-sua-quan-8-duong-105a-trinh-quang-nghi
Hàng Cuốn - Phan Xích Long,_._,"139 Phan Xích Long, P. 2, Quận Phú Nhuận, TP. HCM",Đang mở cửa  10:30 - 22:30,Đang cập nhật,10.7976060000000,106.6894830000000,https://down-vn.img.susercontent.com/vn-11134259-7ras8-mc2ww9u7882d80,--,--,--,--,--,Cuốn ba chỉ heo quay (204.120đ) | Cuốn bánh xèo (193.320đ) | Bò tơ cuốn bánh tráng (247.320đ) | Chả bò lá lốt (171.720đ) | Gỏi cuốn 37 (74.520đ) | Giò heo cuốn bánh tráng trảng bàng (182.520đ) | Cuốn bắp bò (225.720đ) | Cuốn đùi heo Hàn Quốc (204.120đ) | Gỏi Cuốn Tôm Thịt (225.720đ) | Cuốn phá lấu (204.120đ) | Lẩu bò nhúng dấm (387.720đ) | Lẩu riêu cua bắp bò (430.920đ) | Chả cá Vạn Vạn (214.920đ),https://www.foody.vn/ho-chi-minh/hang-cuon-phan-xich-long
Bánh Mì Cắt - Bùi Viện,_._,"183/31/4 Bùi Viện, P. Phạm Ngũ Lão, Quận 1, TP. HCM",Chưa mở cửa  10:00 - 22:00,13.000đ - 130.000đ,10.7654680000000,106.6915180000000,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwhgct8e0dll21,--,--,--,--,--,Jambon (500gr) (130.000đ) | Giò thủ (500gr) (120.000đ) | Chả lụa (500gr) (130.000đ) | Giò Sống (500gr) (110.000đ) | Patê Gan (300gr) (40.000đ) | Khô gà lá chanh (90.000đ) | Sốt trắng (500gr) (50.000đ) | Chà bông heo (90.000đ) | Nem Thịt (200gr) (35.000đ) | Giò Bì (500gr) (90.000đ),https://www.foody.vn/ho-chi-minh/banh-mi-cat-bui-vien
KingDom NextGen - Sư Vạn Hạnh,_._,"796 Sư Vạn Hạnh, P. 12, Quận 10, TP. HCM",Đang mở cửa  08:00 - 23:59,16.000đ - 55.000đ,10.7745560000000,106.6697670000000,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8rezky2zmh06,--,--,--,--,--,Mì trộn gà kingdom (40.000đ) | Mì trộn bò mỹ phô mai (55.000đ) | Mì trộn xá xíu trứng lòng đào (40.000đ) | Cơm trứng chiên thịt (35.000đ) | Cơm bò mỹ phô mai (55.000đ) | Cơm bò kingdom (55.000đ) | Cơm gà sốt pataya (45.000đ) | Cơm gà sốt tiêu đen (45.000đ) | Cơm ba rọi sa tế (45.000đ) | Cơm cá basa sốt cà (35.000đ) | Cơm chiên tomato (37.000đ) | Xúc xích vị tiêu (26.000đ) | Xúc xích xông khói (21.000đ) | Xúc xích vườn bia (21.000đ) | Xúc xích deli sumo (19.000đ) | Xúc xích đức (16.000đ),https://www.foody.vn/ho-chi-minh/kingdom-nextgen-su-van-hanh
Moka Coffee - Nguyễn Gia Trí,_._,"29/2B Nguyễn Gia Trí, (Đường D2), P. 25, Quận Bình Thạnh, TP. HCM",Chưa mở cửa  06:00 - 21:00,12.000đ - 25.000đ,10.8024627292802,106.7154829374094,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwh2ujj1lsrf7f,--,--,--,--,--,,https://www.foody.vn/ho-chi-minh/moka-coffee-nguyen-gia-tri
Kem Dừa Miền Tây - Tân Phú,_._,"24 Đường B3, P. Tây Thạnh, Quận Tân Phú, TP. HCM",Chưa mở cửa  08:00 - 22:00,5.000đ - 20.000đ,10.8106490000000,106.6226370000000,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwhbyff7x3a3fd,--,--,--,--,--,,https://www.foody.vn/ho-chi-minh/kem-dua-mien-tay-tan-phu
Bún Bò Tân Phú,_._,"18 Huỳnh Văn Gấm, P. Tây Thạnh, Quận Tân Phú, TP. HCM",Chưa mở cửa  06:00 - 11:00,25.000đ - 35.000đ,10.8042774000000,106.6317167000000,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8r4o8pj6qj22,--,--,--,--,--,,https://www.foody.vn/ho-chi-minh/bun-bo-tan-phu
Mì Quảng Bàu Cát,7.4,"271 Bàu Cát, Quận Tân Bình, TP. HCM",Chưa mở cửa  07:00 - 22:00,25.000đ - 55.000đ,10.7910740000000,106.6454620000000,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwbukrfa3efvf5,7.5,7.5,7.5,7.5,7.0,,https://www.foody.vn/ho-chi-minh/mi-quang-bau-cat
Ốc 2L - Phạm Văn Đồng,_._,"84 Phạm Văn Đồng, P. 3, Quận Gò Vấp, TP. HCM",Đang mở cửa  00:01 - 03:00 | 17:00 - 23:59,15.000đ - 70.000đ,10.8150490000000,106.6816900000000,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwhw1pl082cb46,--,--,--,--,--,,https://www.foody.vn/ho-chi-minh/oc-2l-pham-van-dong
Cơm Gà Xối Mỡ Số Zách Quận 10 - Bà Hạt,2.4,"440 Bà Hạt, P. 8, Quận 10, TP. HCM",Chưa mở cửa  10:30 - 21:30,7.000đ - 70.000đ,10.7654898000000,106.6663339000000,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsvbbf1525dw3f,5.0,3.0,2.0,1.0,1.0,Cơm gà xối mỡ (1/4 cánh) sốt ngũ vị (55.000đ) | Chân gà ngâm sả tắc (59.000đ) | Chân gà hấp thái (59.000đ) | Cơm chiên thêm (7.000đ) | Dưa cải thêm (7.000đ) | Dưa leo thêm (7.000đ),https://www.foody.vn/ho-chi-minh/com-ga-xoi-mo-so-zach-quan-10-ba-hat
Quận Bình Tân - TP. HCM,,,,,,,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsv3drsfat218b@resize_ss640x400,,https://www.foody.vn/ho-chi-minh/khu-vuc-quan-binh-tan
Chè Hari - Ngon Mêly Quận 12,_._,"Kiot 40-41 Đường DN5, Công Viên Vui Chơi Giải Trí Ẩm Thực An Sương, P. Tân Hưng Thuận, Quận 12, TP. HCM",Chưa mở cửa  10:00 - 21:30,Đang cập nhật,10.8435400000000,106.6227100000000,https://down-vn.img.susercontent.com/vn-11134259-7ra0g-m9sm1o7o108y12,--,--,--,--,--,Chè bưởi đường thốt nốt (28.000đ) | Chè thái khoai dẻo (30.000đ) | Chè thái thập cẩm (32.000đ) | Chè dừa dầm (30.000đ) | Chè khoai dẻo phô mai (32.000đ) | Chè cốm dừa (28.000đ) | Chè bắp (28.000đ) | Chè đậu đỏ sương sáo (28.000đ) | Chè thái sầu riêng (40.000đ) | Chè thái bắp (30.000đ) | Chè trái cây nhiệt đới( trái cây theo mùa) (35.000đ) | Chè thái bánh flan (35.000đ) | Chè thái hạt lựu (30.000đ) | Chè thập cẩm vị sưa (30.000đ) | Chè khoai dẻo đậu xanh (30.000đ) | Chè sầu riêng đà nẵng(vị kiểu chè Liên) (38.000đ) | Chè sương sa hạt lựu (28.000đ) | Chè Khoai Dẻo Đậu Đỏ (32.000đ),https://www.foody.vn/ho-chi-minh/che-hari-ngon-mely-quan-12
Bread & Butter - Bùi Viện,9.0,"191 - 193 Bùi Viện, P. Phạm Ngũ Lão, Quận 1, TP. HCM",Chưa mở cửa  09:00 - 22:00,45.000đ - 200.000đ,10.7658650000000,106.6909900000000,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8t9y0kpcyje2,10.0,10.0,9.0,8.0,8.0,,https://www.foody.vn/ho-chi-minh/bread-butter-bui-vien
Mì Trộn Phủ Trứng - Quận 10,_._,"104/42 Thành Thái, P. 14, Quận 10, TP. HCM",Đang mở cửa  00:01 - 23:59,Đang cập nhật,10.7746358000000,106.6652413000000,https://down-vn.img.susercontent.com/vn-11134259-820l4-mh8tf39j0hl56f,--,--,--,--,--,Mì trộn tôm thịt bằm phủ trứng (59.000đ) | Mì trộn bò lúc lắc phủ trứng (59.000đ) | Mì trộn xúc xich thit bằm (59.000đ) | Mì trộn bittet phủ trứng (59.000đ) | Mì ttộn heo chiên giòn phủ trứng (59.000đ) | Mì trộn bò sốt tiêu xanh (59.000đ) | Mì trộn bò cháy tỏi (59.000đ) | Cơm heo chiên giòn (59.000đ) | Cơm bò lúc lắc (59.000đ) | Cơm xúc xích phủ trứng (59.000đ) | Cơm bò cháy tỏi (59.000đ) | Ơm bò phủ trứng (59.000đ) | Cơm bò sốt tiêu xanh (59.000đ) | Cơm Tôm thịt bằm phủ trứng (59.000đ) | Cơm thit bằm phủ trứng (59.000đ) | Canh rong biển bò (15.000đ),https://www.foody.vn/ho-chi-minh/mi-tron-phu-trung-quan-10
Sinh Tố Cư Xá - Quận 6,_._,"11 Đường Số 10, P.13, Quận 6, TP. HCM",Chưa mở cửa  16:30 - 21:30,Đang cập nhật,10.7518239000000,106.6281479000000,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lubyv234t2c126,--,--,--,--,--,Dâu Việt quất (39.000đ) | Sapo (24.000đ) | Dâu (34.000đ) | Sầu riêng (34.000đ) | Chuối cacao (27.000đ) | Bơ (34.000đ) | Dừa Cacao (27.000đ) | Dừa Sầu riêng (46.000đ) | Xoài chanh dây (32.000đ) | Bơ Sầu riêng (46.000đ) | Dừa (24.000đ) | Chuối (24.000đ) | Bơ Chuối (39.000đ) | Dâu Chuối (39.000đ) | Xoài (24.000đ) | Việt quất (34.000đ),https://www.foody.vn/ho-chi-minh/sinh-to-cu-xa-quan-6
Mì trộn Indomie - Miliket Thủ Đức - Đường 12,_._,"136 Đường 12, P. Phước Bình, Tp. Thủ Đức, TP. HCM",Đang mở cửa  05:30 - 23:00,Đang cập nhật,10.8124048000000,106.7725897000000,https://down-vn.img.susercontent.com/vn-11134513-7ras8-mcioetfwqoik10,--,--,--,--,--,"Canh Rong Biển (15.000đ) | Mì Siukay truyền thống trứng xúc xích (45.000đ) | Mì trộn Siukay thịt bằm trứng chiên (52.000đ) | Mì trộn Siukay Gà Ram Rút Xương (60.000đ) | Mì trộn Siukay Ngũ Sắc (58.000đ) | Mì trộn Siukay Thập cẩm (72.000đ) | Mì trộn Siukay Bò Xào hành tây (60.000đ) | Mì trộn Siukay rau củ (38.000đ) | Mì trộn Siukay Gà xé trứng chiên (52.000đ) | Trà Tắc khổng lồ (15.000đ) | Mì trộn indomie thập cẩm (58.000đ) | Mì trộn indomie ngũ sắc (45.000đ) | Mì trộn indomie truyền thống xúc xích, trứng (29.000đ) | Mì trộn indomie gà xé trứng chiên (38.000đ) | Mì trộn indomie thịt bằm trứng chiên (38.000đ)",https://www.foody.vn/ho-chi-minh/mi-tron-indomie-miliket-thu-duc-duong-12
Queens Coffee - Tô Hiến Thành,_._,"165/13 Tô Hiến Thành, P. 13, Quận 10, TP. HCM",Đang mở cửa  07:00 - 23:00,25.000đ - 30.000đ,10.7801760000000,106.6691880000000,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwcei93drvmj94,--,--,--,--,--,,https://www.foody.vn/ho-chi-minh/queens-coffee-to-hien-thanh
Milano Cafe - Vĩnh Khánh,_._,"122/41 Vĩnh Khánh, P. 10, Quận 4, TP. HCM",Chưa mở cửa  07:30 - 22:00,15.000đ - 30.000đ,10.7608560000000,106.7050570000000,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwet6x8rfxej36,--,--,--,--,--,,https://www.foody.vn/ho-chi-minh/milano-cafe-vinh-khanh
Rin Coffee - Trường Sa,8.8,"812 Trường Sa, P. 14, Quận 3, TP. HCM",Đang mở cửa  07:00 - 22:30,25.000đ - 45.000đ,10.7882360000000,106.6828780000000,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwfjiq75k0yh58,9.0,9.0,9.0,9.0,8.0,,https://www.foody.vn/ho-chi-minh/rin-coffee-truong-sa
